latent_motherboard_df_0,latent_motherboard_df_1,latent_motherboard_df_2,latent_motherboard_df_3,latent_motherboard_df_4,latent_motherboard_df_5,latent_motherboard_df_6,latent_motherboard_df_7,latent_motherboard_df_8,latent_motherboard_df_9,latent_motherboard_df_10,latent_motherboard_df_11,latent_motherboard_df_12,latent_motherboard_df_13,latent_motherboard_df_14,latent_motherboard_df_15,latent_motherboard_df_16,latent_motherboard_df_17,latent_motherboard_df_18,latent_motherboard_df_19,latent_motherboard_df_20,latent_motherboard_df_21,latent_motherboard_df_22,latent_motherboard_df_23,latent_motherboard_df_24,latent_motherboard_df_25,latent_motherboard_df_26,latent_motherboard_df_27,latent_motherboard_df_28,latent_motherboard_df_29,latent_motherboard_df_30,latent_motherboard_df_31,latent_motherboard_df_32,latent_motherboard_df_33,latent_motherboard_df_34,latent_motherboard_df_35,latent_motherboard_df_36,latent_motherboard_df_37,latent_motherboard_df_38,latent_motherboard_df_39,latent_motherboard_df_40,latent_motherboard_df_41,latent_motherboard_df_42,latent_motherboard_df_43,latent_motherboard_df_44,latent_motherboard_df_45,latent_motherboard_df_46,latent_motherboard_df_47,latent_motherboard_df_48,latent_motherboard_df_49,latent_motherboard_df_50,latent_motherboard_df_51,latent_motherboard_df_52,latent_motherboard_df_53,latent_motherboard_df_54,latent_motherboard_df_55,latent_motherboard_df_56,latent_motherboard_df_57,latent_motherboard_df_58,latent_motherboard_df_59,latent_motherboard_df_60,latent_motherboard_df_61,latent_motherboard_df_62,latent_motherboard_df_63
0.15744746,0.72712034,0.5443878,0.4135942,0.5551274,0.0,1.4558743,0.5362136,0.6606371,0.0,1.1776747,0.6015787,1.4119611,0.36366707,1.2770462,0.98184586,0.6227956,0.6260036,0.15437801,1.4566672,0.2541357,0.82283276,1.6917865,0.0,0.6411573,1.1875939,0.4633762,0.87156695,0.8263713,0.8374608,0.293361,1.4119343,0.21544191,0.53317976,1.0681136,0.65497655,0.27129936,0.0,1.2342119,0.89176583,0.0,0.0,0.9296676,0.772275,1.676924,0.34816593,0.23173913,0.40878847,0.53733385,0.9704911,0.7302531,0.67119056,0.039853327,0.15514426,0.45763314,0.69448614,0.03155482,0.0,0.17942035,0.0,0.27966613,0.0,1.4200584,0.04750012
0.15718025,0.7320748,0.5531578,0.40966612,0.55830234,0.0,1.4596635,0.5384072,0.6630308,0.0,1.1688923,0.60766816,1.4164692,0.36360037,1.2821859,0.9810835,0.61919445,0.6151844,0.16224565,1.4679787,0.25380465,0.82289714,1.7039075,0.0,0.6456525,1.1786094,0.46112803,0.8774476,0.83832145,0.84939516,0.2886936,1.4015265,0.21045753,0.548591,1.0564793,0.6578048,0.27291465,0.0,1.2229447,0.8861624,0.0,0.0,0.9287771,0.7642424,1.6659784,0.3542636,0.23750839,0.41318372,0.54371595,0.97065336,0.7252631,0.67145735,0.043719523,0.15129344,0.46747142,0.7056565,0.03615704,0.0,0.19441432,0.0,0.28480178,0.0,1.4287479,0.052385107
0.15548891,0.7634336,0.6086666,0.3848042,0.57839805,0.0,1.4836475,0.5522912,0.678182,0.0,1.1133054,0.64621043,1.4450033,0.3631783,1.3147168,0.9762582,0.5964016,0.5467058,0.21204276,1.5395734,0.25170907,0.8233046,1.7806256,0.0,0.6741037,1.1217424,0.44689855,0.91466886,0.9139589,0.9249318,0.2591519,1.3356507,0.17890938,0.6461347,0.9828422,0.67570573,0.28313845,0.0,1.1516302,0.85069644,0.0,0.0,0.9231405,0.71340114,1.5967004,0.39285803,0.27402422,0.44100276,0.5841106,0.97168,0.6936796,0.673146,0.06819027,0.12692015,0.5297416,0.77635807,0.06528628,0.0,0.28931683,0.0,0.31730658,0.0,1.483747,0.08330409
0.09658012,0.5195604,0.49143854,0.0,0.38639033,0.0,1.3602608,0.2725216,0.46485704,0.0,0.73983926,0.52793574,1.180382,0.31726035,1.6524329,1.0215479,0.7130073,0.4559527,0.47378093,1.0689764,0.23586401,0.79039747,1.5664152,0.0,0.7024588,1.0435572,0.40896013,1.1574558,0.91647375,0.61103225,0.32790625,1.53582,0.40552974,0.59450865,0.6783321,0.66095334,0.42420846,0.0,1.3999429,1.0635169,0.0,0.0,0.45667747,1.2283901,1.3465822,0.0,0.42341107,0.5896989,0.43885645,1.0306518,1.0202291,1.0103364,0.1415361,0.55532604,0.44088706,0.45019507,0.0,0.0,0.0059567206,0.0,0.14227647,0.0,1.2162749,0.13049741
0.095888704,0.5323801,0.514131,0.0,0.39460564,0.0,1.3700656,0.2781975,0.47105104,0.0,0.7171149,0.5436921,1.192047,0.31708786,1.6657319,1.0195752,0.70368934,0.42795807,0.49413836,1.0982449,0.23500732,0.790564,1.5977782,0.0,0.7140899,1.0203094,0.40314302,1.172672,0.94739497,0.6419122,0.3158294,1.5088896,0.3926326,0.6343853,0.64822865,0.66827136,0.428388,0.0,1.370789,1.049018,0.0,0.0,0.4543732,1.2076057,1.3182607,0.0,0.438339,0.6010716,0.4553701,1.0310715,1.0073175,1.0110267,0.1515399,0.54536206,0.4663436,0.47909838,0.0,0.0,0.044753682,0.0,0.15556473,0.0,1.238759,0.14313732
0.0955956,0.53781456,0.5237506,0.0,0.39808822,0.0,1.374222,0.2806036,0.47367674,0.0,0.70748186,0.55037147,1.1969919,0.31701466,1.6713696,1.0187391,0.69973934,0.4160908,0.50276816,1.1106522,0.23464414,0.7906347,1.6110735,0.0,0.7190205,1.0104545,0.40067706,1.1791224,0.96050286,0.65500265,0.31070983,1.4974734,0.3871653,0.6512895,0.6354674,0.6713736,0.4301598,0.0,1.3584301,1.0428718,0.0,0.0,0.4533964,1.198795,1.3062549,0.0,0.44466716,0.60589254,0.46237043,1.0312495,1.001844,1.0113194,0.15578066,0.5411382,0.47713497,0.4913509,0.0,0.0,0.061200213,0.0,0.16119772,0.0,1.2482903,0.14849557
0.096663624,0.5180121,0.48869792,0.0,0.38539815,0.0,1.3590766,0.2718361,0.464109,0.0,0.74258375,0.5260328,1.1789732,0.31728122,1.6508269,1.0217861,0.7141326,0.45933372,0.4713223,1.0654416,0.23596749,0.7903773,1.5626274,0.0,0.7010541,1.0463648,0.4096627,1.1556181,0.9127393,0.6073027,0.3293648,1.5390725,0.40708733,0.5896926,0.6819678,0.6600695,0.42370367,0.0,1.4034638,1.0652679,0.0,0.0,0.45695576,1.2309003,1.3500028,0.0,0.42160815,0.5883254,0.43686202,1.0306011,1.0217885,1.0102531,0.14032786,0.55652946,0.4378126,0.44670433,0.0,0.0,0.0012711398,0.0,0.14067155,0.0,1.2135594,0.12897085
0.096663624,0.5180121,0.48869792,0.0,0.38539815,0.0,1.3590766,0.2718361,0.464109,0.0,0.74258375,0.5260328,1.1789732,0.31728122,1.6508269,1.0217861,0.7141326,0.45933372,0.4713223,1.0654416,0.23596749,0.7903773,1.5626274,0.0,0.7010541,1.0463648,0.4096627,1.1556181,0.9127393,0.6073027,0.3293648,1.5390725,0.40708733,0.5896926,0.6819678,0.6600695,0.42370367,0.0,1.4034638,1.0652679,0.0,0.0,0.45695576,1.2309003,1.3500028,0.0,0.42160815,0.5883254,0.43686202,1.0306011,1.0217885,1.0102531,0.14032786,0.55652946,0.4378126,0.44670433,0.0,0.0,0.0012711398,0.0,0.14067155,0.0,1.2135594,0.12897085
0.096446514,0.5220376,0.49582356,0.0,0.38797784,0.0,1.3621554,0.27361837,0.46605396,0.0,0.73544806,0.53098047,1.1826361,0.31722704,1.6550028,1.0211667,0.7112067,0.4505431,0.47771472,1.0746322,0.23569843,0.79042965,1.5724757,0.0,0.7047063,1.0390649,0.40783605,1.1603961,0.9224489,0.6169994,0.32557255,1.530616,0.40303755,0.6022143,0.67251503,0.66236746,0.4250161,0.0,1.3943093,1.0607152,0.0,0.0,0.45623222,1.2243738,1.3411095,0.0,0.42629567,0.59189653,0.44204745,1.030733,1.0177342,1.0104698,0.1434692,0.55340064,0.4458062,0.45578027,0.0,0.0,0.013453733,0.0,0.14484423,0.0,1.2206197,0.13293989
1.3439684,0.2755272,0.5033807,0.18801956,0.99634135,0.0,0.53289366,0.12717399,0.82855666,0.0,0.5640921,0.44972572,0.05992993,0.76280516,0.6920533,0.13780832,1.7119746,0.5214921,0.60787094,0.426029,0.3842569,0.8305773,1.0649296,0.0,0.3014131,0.40108734,0.05026461,0.64410305,0.32469296,1.4512347,0.9653378,0.9844684,1.20913,0.0,1.8030888,2.0103788,0.71183735,0.0,0.47873122,0.0910649,0.0,0.0,2.0793324,0.6515254,1.0037187,0.5355025,0.0,0.85908544,0.0,0.34549245,0.016180903,0.7719631,0.0,0.48819876,0.06370862,0.0,0.0,0.0,0.0,0.0,0.9965835,0.0,1.5178473,0.88184017
