latent_gpu_df_0,latent_gpu_df_1,latent_gpu_df_2,latent_gpu_df_3,latent_gpu_df_4,latent_gpu_df_5,latent_gpu_df_6,latent_gpu_df_7,latent_gpu_df_8,latent_gpu_df_9,latent_gpu_df_10,latent_gpu_df_11,latent_gpu_df_12,latent_gpu_df_13,latent_gpu_df_14,latent_gpu_df_15,latent_gpu_df_16,latent_gpu_df_17,latent_gpu_df_18,latent_gpu_df_19,latent_gpu_df_20,latent_gpu_df_21,latent_gpu_df_22,latent_gpu_df_23,latent_gpu_df_24,latent_gpu_df_25,latent_gpu_df_26,latent_gpu_df_27,latent_gpu_df_28,latent_gpu_df_29,latent_gpu_df_30,latent_gpu_df_31,latent_gpu_df_32,latent_gpu_df_33,latent_gpu_df_34,latent_gpu_df_35,latent_gpu_df_36,latent_gpu_df_37,latent_gpu_df_38,latent_gpu_df_39,latent_gpu_df_40,latent_gpu_df_41,latent_gpu_df_42,latent_gpu_df_43,latent_gpu_df_44,latent_gpu_df_45,latent_gpu_df_46,latent_gpu_df_47,latent_gpu_df_48,latent_gpu_df_49,latent_gpu_df_50,latent_gpu_df_51,latent_gpu_df_52,latent_gpu_df_53,latent_gpu_df_54,latent_gpu_df_55,latent_gpu_df_56,latent_gpu_df_57,latent_gpu_df_58,latent_gpu_df_59,latent_gpu_df_60,latent_gpu_df_61,latent_gpu_df_62,latent_gpu_df_63
0.36048442,0.9146193,0.3577438,0.42309362,0.6141067,0.16222817,0.031914547,0.5321651,0.8085484,0.0,1.4443779,0.24502659,0.0,0.4107061,0.0,0.74730617,0.24139099,0.7455914,1.0754572,1.044398,1.6680547,0.63543147,0.2507524,0.24788615,1.131729,1.0212566,0.5635982,0.46524712,0.39616454,0.43975973,0.0,0.24933843,0.7792703,0.6962415,0.0,0.43735325,0.89503974,0.62484354,0.0,0.0,0.8426617,0.80213577,0.30962133,0.24715728,0.17355192,1.0701076,0.87034094,0.0,0.091754876,1.1969634,0.0,1.1880156,0.0,1.1830074,0.0,0.40098622,0.0,0.18217976,0.31036147,1.1782423,0.0,0.0,0.9683417,0.59626406
0.36048442,0.9146193,0.3577438,0.42309362,0.6141067,0.16222817,0.031914547,0.5321651,0.8085484,0.0,1.4443779,0.24502659,0.0,0.4107061,0.0,0.74730617,0.24139099,0.7455914,1.0754572,1.044398,1.6680547,0.63543147,0.2507524,0.24788615,1.131729,1.0212566,0.5635982,0.46524712,0.39616454,0.43975973,0.0,0.24933843,0.7792703,0.6962415,0.0,0.43735325,0.89503974,0.62484354,0.0,0.0,0.8426617,0.80213577,0.30962133,0.24715728,0.17355192,1.0701076,0.87034094,0.0,0.091754876,1.1969634,0.0,1.1880156,0.0,1.1830074,0.0,0.40098622,0.0,0.18217976,0.31036147,1.1782423,0.0,0.0,0.9683417,0.59626406
0.19340369,0.9914757,0.627619,0.20135686,0.6292779,0.17453349,0.12595387,0.57496,0.8148385,0.03188067,1.4975835,0.670021,0.07149547,0.5235128,0.0,0.86349565,0.34328324,0.64992785,0.63092566,0.5131803,1.4616586,0.53214216,0.25072747,0.5597953,0.7567044,0.88893646,0.72498035,0.0,0.66845334,0.28547287,0.20902258,0.13175221,1.0834343,0.97353876,0.0,0.388847,1.0457429,1.247593,0.0,0.0,0.8462755,0.15634215,0.9719634,0.6474072,0.48668972,1.2406632,0.42652914,0.0,0.34859553,1.3997993,0.0,0.901641,0.0,0.75730705,0.20797923,0.22659412,0.08699877,0.32313937,0.32139617,1.1101139,0.0,0.016660832,0.7983146,0.0
0.35147402,0.9380901,0.3600059,0.38309592,0.53799015,0.07638672,0.18366645,0.44417545,0.9286408,0.16030037,1.2653182,0.563961,0.13617314,0.70540816,0.0,0.8780113,0.42360964,0.5809289,0.44925648,0.6038067,1.3902832,0.4957956,0.33477432,0.4387465,0.668059,0.72429836,0.78098416,0.0,0.67463595,0.33896202,0.15580781,0.10900667,1.2118596,0.6504731,0.0,0.46458662,0.8432741,1.1452736,0.0,0.0,0.6921842,0.22550863,1.1272161,0.8426902,0.56392884,1.0992774,0.73182654,0.0,0.24643108,1.4044499,0.105593234,1.0183556,0.17011063,0.9745367,0.18638526,0.368224,0.050505128,0.28043103,0.36940747,1.1892481,0.0046890723,0.18898739,0.8998045,0.0
0.221057,1.2905682,0.25862366,0.39696604,0.3602578,0.1690354,0.2591362,0.7159058,1.053148,0.052724384,1.5047688,0.4742853,0.4240363,0.0,0.0,1.3587627,0.68214935,0.80605185,1.0975121,0.63398045,1.6511482,0.154027,0.017575195,0.60357696,1.0129642,1.3986983,0.99322724,0.0,0.50636965,0.0,0.36211288,0.116778985,1.3645769,0.27613962,0.0,0.659953,1.5123638,0.31428185,0.0,0.0,0.45029694,0.5612367,0.7472074,0.94340384,0.6485609,1.6546267,0.9581511,0.0,0.0,1.5280144,0.11563739,0.83068645,0.26932457,1.0438721,0.14037557,0.41810486,0.036996882,0.24430908,0.032524504,1.5114899,0.0,0.3214886,1.4270718,0.64075494
0.1713025,1.2226825,0.34006572,0.3354591,0.39430866,0.0,0.040207848,0.8757924,1.109419,0.053098105,1.6212823,0.71941006,0.49689788,0.288328,0.0,1.0847051,0.5107594,0.76250076,1.1293316,0.49775746,1.7158595,0.19288708,0.0,0.74947566,0.97067314,1.306866,1.0597293,0.0,0.73681647,0.084958464,0.4706924,0.18680878,1.3161346,0.93718815,0.0,0.6419621,1.370271,1.1380025,0.0,0.0,0.7896329,0.02885703,0.6423651,0.8909681,0.9273913,1.7570592,0.5530273,0.0,0.0,1.762121,0.0,0.9093561,0.29173502,0.77186406,0.31264257,0.36630055,0.0,0.42112228,0.0441275,1.3074827,0.0,0.3331367,1.1481872,0.0
0.11625099,1.2244486,0.27482337,0.3808791,0.43290767,0.10978529,0.12511222,0.84815025,1.0931506,0.0017460063,1.5682527,0.75044805,0.48558235,0.122935824,0.0,1.2038423,0.37272763,0.727281,0.98047835,0.45654926,1.7168885,0.060130548,0.0,0.7470784,0.96309775,1.278555,1.0985312,0.0,0.7104137,0.0,0.5512135,0.13496587,1.336731,0.8745357,0.0,0.7288855,1.4494478,0.8662764,0.0,0.0,0.65925443,0.19453129,0.7437004,0.85827315,0.81256306,1.7764127,0.608574,0.0,0.0,1.6655104,0.007449478,0.872645,0.20641465,0.81896156,0.34438747,0.33397505,0.0,0.33143693,0.0,1.2408447,0.0,0.1921012,1.2629399,0.018771634
0.5936214,1.0050749,1.029614,0.024176974,0.50109076,0.51021236,0.14817299,0.45481595,0.47287363,0.21547243,0.99447274,0.6716868,0.29492477,0.14645544,0.0,0.905206,0.6315548,0.43656853,0.6445753,0.63234574,1.1520854,0.21556379,0.0,0.42414704,0.32118815,0.79759145,0.6611401,0.0,0.7404383,0.29967883,0.365748,0.11282167,1.318097,0.85862577,0.0,0.39659715,0.6485372,1.0808525,0.0,0.0,0.46294403,0.27444413,1.79579,0.91523993,0.76604366,1.1466032,0.4080485,0.0,0.4537196,1.3386471,0.32219315,0.527293,0.16647927,0.67040086,0.27660984,0.34309506,0.0,0.76575476,0.508409,0.446701,0.036916126,0.068255596,0.32033488,0.0
1.0497193,0.6399299,1.2361706,0.0,0.5156813,0.74029166,0.20639719,0.39424774,0.298895,0.31288397,1.071837,0.4668335,0.4430249,0.032189183,0.0,0.64687437,0.67293674,0.59871554,0.8964427,0.889656,1.0364245,0.248383,0.0,0.3622174,0.2050747,0.76631874,0.620034,0.16433078,0.5619586,0.5384575,0.06454827,0.073307335,1.1165696,1.2793404,0.0,0.5063853,0.2118704,1.2279681,0.0,0.0,0.46592516,0.75074524,1.7955191,0.60825205,1.0189515,0.96854144,0.25667506,0.0,0.32500455,1.0561403,0.3674101,0.40306216,0.23345955,0.76123744,0.28672978,0.56975967,0.0,0.78912306,0.8271908,0.0,0.0,0.21341984,0.0,0.0
1.0637589,0.6391581,1.224876,0.0,0.50637066,0.7287068,0.21299781,0.3939039,0.301963,0.3271855,1.0566224,0.4649843,0.44879866,0.039860718,0.0,0.6387684,0.68095285,0.60238516,0.8872749,0.8920261,1.0327969,0.2539714,0.0,0.3602752,0.19370398,0.757202,0.6287061,0.15986946,0.5664448,0.54290104,0.056641728,0.070254415,1.1175109,1.2611896,0.0,0.5116669,0.20330307,1.2275361,0.0,0.0,0.45858753,0.7509776,1.8141817,0.6219041,1.0281851,0.96087164,0.2748939,0.0,0.32140058,1.0644594,0.37738147,0.40406126,0.24998792,0.76681507,0.28465077,0.5768882,0.0,0.78807604,0.83244693,0.0,0.0,0.2261141,0.0,0.0
