Name,GPU_Brand,GPU_Chipset,Model,Memory_Size,Memory_Type,Base_Clock,Boost_Clock,TDP,Interface,Length,Cooling_Type,Power_Connectors,SLI_Support,CrossFire_Support,DisplayPort,HDMI,G-SYNC_Support,FreeSync_Support,Expansion_Slots,Seller_Product_URL,Price
ASRock Radeon RX 9060 XT Steel Legend 8GB OC,AMD,Radeon RX 9060 XT 8GB,RX9060XT SL 8GO,8.0,GDDR6,2220.0,3320.0,160.0,PCIe x16,298.0,3 Fans,18.0,No,No,2.0,1.0,No,Yes,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814930141%26ignorebbr%3d1,289.99
ASRock Radeon RX 9070 Challenger13th / 101,AMD,Radeon RX 9070,RX9070 CL 16G,16.0,GDDR6,2070.0,2520.0,220.0,PCIe x16,290.0,3 Fans,28.0,No,No,3.0,1.0,No,Yes,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814930138%26ignorebbr%3d1,599.99
ASRock Radeon RX 9070 Challenger13th / 101,AMD,Radeon RX 9070,RX9070 CL 16G,16.0,GDDR6,2070.0,2520.0,220.0,PCIe x16,290.0,3 Fans,28.0,No,No,3.0,1.0,No,Yes,2.0,https://www.amazon.com/dp/B0DTTKCTRD?tag=pangoly0b-20,599.99
ASRock Radeon RX 9070 Steel Legend13th / 101,AMD,Radeon RX 9070,RX9070 SL 16GO,16.0,GDDR6,2210.0,2700.0,220.0,PCIe x16,298.0,3 Fans,28.0,No,No,3.0,1.0,No,Yes,2.0,https://www.amazon.com/dp/B0DTTGMFK3?tag=pangoly0b-20,750.0
ASRock Radeon RX 9070 XT Steel Legend8th / 101,AMD,Radeon RX 9070 XT,RX9070XT SL 16G,16.0,GDDR6,2400.0,2970.0,304.0,PCIe x16,298.0,3 Fans,28.0,No,No,3.0,1.0,No,Yes,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814930136%26ignorebbr%3d1,669.99
ASRock Radeon RX 9070 XT Steel Legend8th / 101,AMD,Radeon RX 9070 XT,RX9070XT SL 16G,16.0,GDDR6,2400.0,2970.0,304.0,PCIe x16,298.0,3 Fans,28.0,No,No,3.0,1.0,No,Yes,2.0,https://www.amazon.com/dp/B0DTT7CPWV?tag=pangoly0b-20,719.99
ASRock Radeon RX 9070 XT Steel Legend Dark8th / 101,AMD,Radeon RX 9070 XT,RX9070XT SLD 16G,16.0,GDDR6,2400.0,2970.0,304.0,PCIe x16,298.0,3 Fans,28.0,No,No,3.0,1.0,No,Yes,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814930144%26ignorebbr%3d1,669.99
ASRock Radeon RX 9070 XT Taichi8th / 101,AMD,Radeon RX 9070 XT,RX9070XT TC 16GO,16.0,GDDR6,2570.0,3100.0,304.0,PCIe x16,330.0,3 Fans,116.0,No,No,3.0,1.0,No,Yes,3.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814930135%26ignorebbr%3d1,729.99
ASRock Radeon RX 9070 XT Taichi8th / 101,AMD,Radeon RX 9070 XT,RX9070XT TC 16GO,16.0,GDDR6,2570.0,3100.0,304.0,PCIe x16,330.0,3 Fans,116.0,No,No,3.0,1.0,No,Yes,3.0,https://www.amazon.com/dp/B0DTT4H4QJ?tag=pangoly0b-20,729.99
ASUS Dual GeForce RTX 3060 Ti OC Edition39th / 101,NVIDIA,GeForce RTX 3060 Ti,dual-rtx3060ti-o8gd6x90YV0IP0-M0NA0090YV0IP0-M0AA00,8.0,GDDR6X,1410.0,1710.0,200.0,PCIe x16,230.0,2 Fans,28.0,No,No,3.0,1.0,Yes,No,2.0,https://www.awin1.com/pclick.php?p=38532672922&a=818035&m=31828,419.99
