Name,Brand,Model,Cores,Threads,Base Clock,Turbo Clock,Socket,TDP,L3 Cache,Process,Integrated Graphics,Cooler Included,Seller,Seller_Product_URL,Availability,Price
Intel Core i9-13900KS11th / 575,Intel,BX8071513900KS,24.0,32.0,3000.0,6000.0,LGA1700,150.0,36.0,10 nm,Intel UHD Graphics 770,No,B&H Photo Video,https://www.bhphotovideo.com/c/product/1740365-REG/intel_bx8071513900ks_core_i9_13900ks_3_2_ghz.html/BI/21936/KBID/28297,In Stock,669.99
Intel Core i9-13900KS11th / 575,Intel,BX8071513900KS,24.0,32.0,3000.0,6000.0,LGA1700,150.0,36.0,10 nm,Intel UHD Graphics 770,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819118446%26ignorebbr%3d1,Out of Stock,707.0
Intel Core i9-13900KS11th / 575,Intel,BX8071513900KS,24.0,32.0,3000.0,6000.0,LGA1700,150.0,36.0,10 nm,Intel UHD Graphics 770,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIA0ZXJYX3020%26ignorebbr%3d1,In Stock,741.19
Intel Core i9-13900KS11th / 575,Intel,BX8071513900KS,24.0,32.0,3000.0,6000.0,LGA1700,150.0,36.0,10 nm,Intel UHD Graphics 770,No,BestBuy,https://bestbuy.7tiv.net/c/2632153/2711001/10014?prodsku=11061697&u=https%3A%2F%2Fwww.bestbuy.com%2Fproduct%2Fintel-core-i9-13th-gen-i9-13900ks-tetracosa-core-24-core-3-20-ghz-processor-36-mb-l3-cache-32-mb-l2-cache%2FJXZRJ5ZFKH&intsrc=CATF_21610,In Stock,766.31
Intel Core i9-149009th / 575,Intel,BX8071514900,24.0,32.0,5.8,5800.0,LGA1700,65.0,36.0,10 nm,Intel UHD Graphics 770,Yes,Amazon.com,https://www.amazon.com/dp/B0CQ24VW72?tag=pangoly0b-20,In Stock,569.97
Intel Core i9-149009th / 575,Intel,BX8071514900,24.0,32.0,5.8,5800.0,LGA1700,65.0,36.0,10 nm,Intel UHD Graphics 770,Yes,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819118474%26ignorebbr%3d1,In Stock,569.99
Intel Core i9-149009th / 575,Intel,BX8071514900,24.0,32.0,5.8,5800.0,LGA1700,65.0,36.0,10 nm,Intel UHD Graphics 770,Yes,B&H Photo Video,https://www.bhphotovideo.com/c/product/1802190-REG/intel_bx8071514900_ic_i9_14900_desktop_processor24.html/BI/21936/KBID/28297,In Stock,589.99
Intel Core i9-14900F9th / 575,Intel,BX8071514900F,24.0,32.0,5.8,5800.0,LGA1700,65.0,36.0,10 nm,,Yes,Amazon.com,https://www.amazon.com/dp/B0CQ1FC8WZ?tag=pangoly0b-20,In Stock,529.0
Intel Core i9-14900F9th / 575,Intel,BX8071514900F,24.0,32.0,5.8,5800.0,LGA1700,65.0,36.0,10 nm,,Yes,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819118485%26ignorebbr%3d1,In Stock,559.99
Intel Core i9-14900F9th / 575,Intel,BX8071514900F,24.0,32.0,5.8,5800.0,LGA1700,65.0,36.0,10 nm,,Yes,B&H Photo Video,https://www.bhphotovideo.com/c/product/1802191-REG/intel_bx8071514900f_ic_i9_14900f_desktop_processor24.html/BI/21936/KBID/28297,In Stock,579.0
Intel Core i9-14900K7th / 575,Intel,BX8071514900K,24.0,32.0,6.0,6000.0,LGA1700,125.0,36.0,10 nm,Intel UHD Graphics 770,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819118462%26ignorebbr%3d1,In Stock,459.0
Intel Core i9-14900K7th / 575,Intel,BX8071514900K,24.0,32.0,6.0,6000.0,LGA1700,125.0,36.0,10 nm,Intel UHD Graphics 770,No,Amazon.com,https://www.amazon.com/dp/B0CGJDKLB8?tag=pangoly0b-20,In Stock,463.99
Intel Core i9-14900K7th / 575,Intel,BX8071514900K,24.0,32.0,6.0,6000.0,LGA1700,125.0,36.0,10 nm,Intel UHD Graphics 770,No,BestBuy,https://bestbuy.7tiv.net/c/2632153/2711001/10014?prodsku=6560418&u=https%3A%2F%2Fwww.bestbuy.com%2Fproduct%2Fintel-core-i9-14900k-14th-gen-24-core-32-thread-4-4ghz-6-0ghz-turbo-socket-lga-1700-unlocked-desktop-processor-multi%2FJXZRJ5572H&intsrc=CATF_21610,In Stock,463.99
Intel Core i9-14900K7th / 575,Intel,BX8071514900K,24.0,32.0,6.0,6000.0,LGA1700,125.0,36.0,10 nm,Intel UHD Graphics 770,No,B&H Photo Video,https://www.bhphotovideo.com/c/product/1781469-REG/intel_bx8071514900k_core_i9_14900k_24_core_lga.html/BI/21936/KBID/28297,In Stock,468.0
