Name,Description,Price,URL,Cores,Threads,Frequency (GHz),Cache (MB),Socket
AMD Ryzen 5 7500F (3.7 GHz / 5.0 GHz),Processeur 6-Core 12-Threads socket AM5 GameCache 38 Mo 5 nm TDP 65W (version tray sans ventilateur - garantie constructeur 3 ans),199€95,https://www.ldlc.com/fiche/PB00672497.html,6,12,3.7,38,AM5
AMD Ryzen 5 7500F Wraith Stealth (3.7 GHz / 5.0 GHz),Processeur 6-Core 12-Threads socket AM5 GameCache 38 Mo 5 nm TDP 65W (version bulk avec ventilateur - garantie constructeur 3 ans),199€95,https://www.ldlc.com/fiche/PB00575280.html,6,12,3.7,38,AM5
AMD Ryzen 5 7600 Wraith Stealth (3.8 GHz / 5.1 GHz),Processeur 6-Core 12-Threads socket AM5 GameCache 38 Mo 5 nm TDP 65W (version boîte avec ventilateur - garantie constructeur 3 ans),219€95,https://www.ldlc.com/fiche/PB00536100.html,6,12,3.8,38,AM5
AMD Ryzen 5 7600X (4.7 GHz / 5.3 GHz),Processeur 6-Core 12-Threads socket AM5 GameCache 38 Mo 5 nm TDP 105W (version boîte sans ventilateur - garantie constructeur 3 ans),259€95,https://www.ldlc.com/fiche/PB00515316.html,6,12,4.7,38,AM5
AMD Ryzen 5 8400F (4.2 GHz / 4.7 GHz) - Version tray,Processeur 6-Core 12-Threads socket AM5 Cache 22 Mo 4 nm TDP 65W (version tray sans ventilateur - garantie constructeur 3 ans),127€95,https://www.ldlc.com/fiche/PB00656403.html,6,12,4.2,22,AM5
AMD Ryzen 5 8400F Wraith Stealth (4.2 GHz / 4.7 GHz),Processeur 6-Core 12-Threads socket AM5 Cache 22 Mo 4 nm TDP 65W (version boîte avec ventilateur - garantie constructeur 3 ans),159€95,https://www.ldlc.com/fiche/PB00613200.html,6,12,4.2,22,AM5
AMD Ryzen 5 9600 Wraith Stealth (3.8 GHz / 5.2 GHz),Processeur 6-Core 12-Threads socket AM5 GameCache 38 Mo 4 nm TDP 65W (version boîte avec ventilateur - garantie constructeur 3 ans),269€95,https://www.ldlc.com/fiche/PB00663741.html,6,12,3.8,38,AM5
AMD Ryzen 5 9600X (3.9 GHz / 5.4 GHz),Processeur 6-Core 12-Threads socket AM5 GameCache 38 Mo 4 nm TDP 65W (version boîte sans ventilateur - garantie constructeur 3 ans),279€95,https://www.ldlc.com/fiche/PB00622385.html,6,12,3.9,38,AM5
AMD Ryzen 7 5700 Wraith Spire (3.7 GHz / 4.6 GHz),Processeur 8-Core 16-Threads socket AM4 Cache 20 Mo 7 nm TDP 65W avec système de refroidissement (version boîte - garantie constructeur 3 ans),139€95,https://www.ldlc.com/fiche/PB00591120.html,8,16,3.7,20,AM4
AMD Ryzen 7 5700G Wraith Stealth (3.8 GHz / 4.6 GHz),Processeur 8-Core 16-Threads socket AM4 Cache L3 16 Mo Radeon Vega Graphics 8 7 nm TDP 65W avec système de refroidissement (version boîte - garantie constructeur 3 ans),199€95,https://www.ldlc.com/fiche/PB00452970.html,8,16,3.8,16,AM4
AMD Ryzen 7 5700X (3.4 GHz / 4.6 GHz),Processeur 8-Core 16-Threads socket AM4 GameCache 36 Mo 7 nm TDP 65W (version boîte sans ventilateur - garantie constructeur 3 ans),199€95,https://www.ldlc.com/fiche/PB00493651.html,8,16,3.4,36,AM4
