Name,CAS Latency,Voltage,Multi-channel Kit,Timing,Model,Price,Link
CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMK32GX5M2B6000C30,30,1.40V,Dual Channel Kit,30-36-36-76,CMK32GX5M2B6000C30,$167.99,https://www.newegg.com/corsair-vengeance-32gb-ddr5-6000-cas-latency-30-desktop-memory-black/p/N82E16820982007
Team Group Delta RGB 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Memory Model FF4D564G6400HC34EDC01,CL34,1.40V,Dual Channel Kit,34-46-46-84,FF4D564G6400HC34EDC01,$199.99,https://www.newegg.com/team-group-delta-rgb-64gb-ddr5-6400-cas-latency-cl34-memory-white/p/N82E16820985291
G.SKILL Trident Z5 Neo RGB Series AMD EXPO 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3636F16GX2-TZ5NR,CL36,1.35V,Dual Channel Kit,36-36-36-96,F5-6000J3636F16GX2-TZ5NR,$124.99,https://www.newegg.com/g-skill-trident-z5-neo-rgb-series-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-black/p/N82E16820374429
G.SKILL Flare X5 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3636F32GX2-FX5,CL36,1.35V,Dual Channel Kit,36-36-36-96,F5-6000J3636F32GX2-FX5,$309.99,https://www.newegg.com/g-skill-flare-x5-64gb-ddr5-6000-cas-latency-cl36-desktop-memory-black/p/N82E16820374656
Team Group T-CREATE EXPERT 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model CTCED532G6400HC32ADC01,CL32,1.35V,Dual Channel Kit,32-39-39-84,CTCED532G6400HC32ADC01,$189.99,https://www.newegg.com/team-group-t-create-expert-32gb-ddr5-6400-cas-latency-cl32-desktop-memory-black/p/N82E16820985076
Patriot Viper Venom RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model PVVR532G600C36K,CL36,1.35V,,36-36-36-76,PVVR532G600C36K,$145.99,https://www.newegg.com/patriot-memory-viper-venom-rgb-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-matte-black/p/N82E16820225310
Silicon Power 32GB (2 x 16GB) DDR4 3200 (PC4 25600) Desktop Memory Model SP032GXLZU320BDAJ7,CL16,1.35V,,16-18-18-38,SP032GXLZU320BDAJ7,$92.97,https://www.newegg.com/silicon-power-32gb-ddr4-3200-cas-latency-cl16-desktop-memory-black-gray/p/N82E16820301459
G.SKILL Trident Z Royal Series 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J2836G32GX2-TR5NS,CL28,1.40V,Dual Channel Kit,28-36-36-96,F5-6000J2836G32GX2-TR5NS,$429.99,https://www.newegg.com/g-skill-trident-z-royal-series-64gb-ddr5-6000-cas-latency-cl28-desktop-memory-silver/p/N82E16820374709
G.SKILL Trident Z5 Royal Series 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model F5-6400J3239G32GX2-TR5S,CL32,1.45V,Dual Channel Kit,32-39-39-102,F5-6400J3239G32GX2-TR5S,$409.99,https://www.newegg.com/g-skill-trident-z5-royal-series-64gb-ddr5-6400-cas-latency-cl32-desktop-memory-silver/p/N82E16820374569
Patriot Viper Venom 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model PVV564G600C36K,CL36,1.35V,,36-36-36-76,PVV564G600C36K,$228.99,https://www.newegg.com/patriot-memory-viper-venom-64gb-ddr5-6000-cas-latency-cl36-desktop-memory-matte-black/p/N82E16820225333
G.SKILL Ripjaws S5 Series 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3040F16GX2-RS5K,CL30,1.35V,Dual Channel Kit,30-40-40-96,F5-6000J3040F16GX2-RS5K,$179.99,https://www.newegg.com/g-skill-ripjaws-s5-series-32gb-ddr5-6000-cas-latency-cl30-desktop-memory-black/p/N82E16820374369
